subjectID,Control.ACC,Control.RT,Relational.ACC,Relational.RT
100307,1,1249.133333,1,2024.833333
102008,0.733333333,1288.636364,0.666666667,2506.125
107422,0.933333333,1421,0.333333333,2065.25
111413,0.933333333,1696.5,0.5,2386.833333
113619,0.866666667,1436.538462,0.583333333,1386.285714
115320,0.866666667,1838.846154,0.5,2169
118528,0.933333333,1379.857143,0.583333333,1762.571429
118730,1,1483.8,0.75,2486.222222
118932,1,1869.4,0.5,2515
120515,0.933333333,1542.857143,0.583333333,1635.428571
122317,0.866666667,1770.692308,0.833333333,2066.7
122620,0.8,1755.666667,0.416666667,2282.4
127933,0.733333333,1678.090909,0.333333333,1553.75
129028,0.933333333,1407.428571,0.916666667,2187.727273
133625,0.8,1844.333333,0.75,2354.555556
135225,0.8,2008.083333,0.583333333,3278.285714
137128,0.933333333,1620.714286,0.583333333,1954.571429
138231,0.933333333,1222.785714,0.416666667,1513.6
141422,1,1590.266667,1,2290.5
141826,0.8,1724.583333,0.5,2127.5
148840,0.866666667,1712.923077,0.416666667,2712.4
150524,1,1592.066667,0.666666667,2519.125
153429,0.866666667,1247.461538,0.916666667,1572.454545
158035,0.933333333,1223.428571,0.666666667,1783.375
158540,1,1534.6,0.333333333,1930.5
159138,0.8,1692.833333,0.416666667,2189.8
161630,1,1020.4,0.916666667,1797.818182
169444,1,1373.666667,1,1608.416667
172029,0.933333333,1912.571429,0.5,2582
172130,0.933333333,1396.857143,0.583333333,1848.428571
175439,0.866666667,1686.923077,0.583333333,1926.285714
177746,0.866666667,1360.230769,0.833333333,2329.1
178142,0.866666667,1385.384615,0.666666667,2154
178950,1,1447.733333,0.916666667,2129.272727
179548,0.933333333,1840.5,0.583333333,2545.714286
180432,0.933333333,1097.642857,0.666666667,1643.75
183034,0.8,1155.333333,0.333333333,1713.75
189349,1,1180.333333,0.666666667,1833.875
190031,1,1228.666667,1,1777
191033,1,1576.466667,0.666666667,2250.125
194645,0.933333333,1767.714286,0.416666667,2514.2
194847,0.933333333,1368.571429,0.916666667,2294.636364
195849,0.933333333,1494.642857,0.833333333,2599.7
196144,0.866666667,1622,0.583333333,2806
200109,0.733333333,1300.545455,0.666666667,1836.375
205725,0.733333333,1296.727273,0.75,1733.888889
208024,1,1531.933333,0.583333333,2114
210617,0.666666667,1621.9,0.416666667,2330.8
211316,0.733333333,1900.909091,0.583333333,2695
211417,1,1223.2,0.5,1585.5
214423,0.866666667,1634.692308,0.666666667,2853.5
251833,0.866666667,1715.769231,0.666666667,1543.625
268850,0.866666667,1641.307692,0.333333333,1660.25
285345,0.933333333,1305.428571,0.333333333,1417.5
307127,0.733333333,1660.454545,0.583333333,1866.142857
334635,0.933333333,1257.714286,0.416666667,2713.4
339847,0.933333333,1744.571429,0.75,2155.555556
352738,0.733333333,1361.363636,0.75,1923.333333
366042,0.933333333,1527.214286,0.75,2292.666667
397760,0.8,1920.666667,0.416666667,2348
414229,1,1512.666667,0.833333333,1881.9
486759,0.733333333,1514.454545,1,2099.166667
500222,0.866666667,1397.307692,0.833333333,1933.2
530635,0.866666667,1574.769231,0.666666667,2097.875
540436,0.8,1973.166667,0.333333333,2106.75
547046,1,1387,0.916666667,2285
567961,0.866666667,1720.923077,0.583333333,2193.285714
568963,0.933333333,1527.142857,0.666666667,2334
573249,1,1636.133333,0.833333333,2057.9
585862,0.733333333,1118.181818,0.416666667,1578.8
586460,0.866666667,999.5384615,0.666666667,1168.875
601127,1,1540.8,0.75,2194.111111
627549,0.8,1547.916667,0.666666667,1541.25
672756,0.866666667,1235.153846,0.333333333,1928.5
702133,0.933333333,1468,1,2043.583333
748258,0.6,2206.555556,0.916666667,2043.636364
751348,1,1580.533333,0.75,2201.444444
771354,1,1237.133333,0.916666667,1898.272727
833148,0.933333333,1411.357143,0.416666667,1875.2
861456,0.8,1804.166667,0.5,2502.5
877168,0.933333333,1619.285714,0.5,2442
887373,0.8,1367.416667,0.583333333,1428.285714
894673,0.666666667,1797.5,0.75,2547.555556
901442,0.8,1418.833333,0.416666667,2026
910241,1,1533.866667,0.666666667,2279
922854,1,1571.733333,0.833333333,2134.7
930449,0.866666667,1662.538462,0.666666667,2435.375
958976,0.6,1592.555556,0.666666667,2311.375
965367,0.8,1773.166667,0.5,2112.333333
983773,0.933333333,1090.714286,0.666666667,1977.875
