scan_ID, Con_acc, Con_RT_mean, Incon_acc, Incon_RT_mean
115825,0.642857,1434.8,0.684211,1382.461538
130114,0.957143,1373.671642,0.894737,1390.970588
132017,0.957143,1465.985075,0.973684,1572.243243
141422,1,1426.6,0.973684,1411.567568
150423,0.971429,1102.073529,0.973684,1205.324324
158136,0.971429,912.75,0.973684,958.621622
161832,0.914286,1542.8125,0.789474,1517.9
165032,1,719.957143,0.973684,719.216216
173738,0.985714,900.376812,1,888.842105
178647,0.928571,1339.276923,0.947368,1286.694444
178950,1,1087.014286,1,1096.263158
182436,0.957143,1541.492537,0.947368,1548.138889
204319,0.985714,1205.101449,0.973684,1229.432432
233326,0.971429,751.191176,0.947368,715.305556
300618,1,1168.671429,0.894737,1216.941176
346945,0.928571,1046.969231,0.789474,943.3
393550,0.985714,1412.463768,0.973684,1499.054054
448347,0.914286,1279.03125,0.842105,1353.46875
601127,0.871429,1477.229508,0.868421,1352.454545
672756,0.957143,1127.671642,1,1001.763158
765864,0.985714,1250.449275,0.894737,1327.264706
849971,0.985714,1079.391304,0.921053,1027.314286
877168,0.942857,1188.30303,0.921053,1291.257143
DMCC1624043,1,980.142857,1,1051.973684
DMCC2442951,0.971429,792.544118,0.973684,927.378378
DMCC2609759,1,1154.228571,0.973684,1189.216216
DMCC2803654,0.985714,1158.913043,0.921053,1149.828571
DMCC2834766,0.985714,944.043478,0.868421,1043.242424
DMCC3062542,0.971429,1299.117647,0.921053,1402.285714
DMCC3204738,1,944.542857,0.973684,1032.540541
DMCC3963378,1,1172.1,1,1153.842105
DMCC4191255,1,884.585714,0.947368,891.361111
DMCC5195268,0.971429,728.205882,0.973684,761.756757
DMCC5775387,0.971429,852.617647,0.894737,1112.176471
DMCC6418065,1,982.557143,1,1117.184211
DMCC6484785,0.985714,1375.130435,0.973684,1277.054054
DMCC6627478,1,964.957143,0.973684,994.351351
DMCC6661074,1,1393.4,0.973684,1478.945946
DMCC6671683,0.928571,855.923077,0.947368,923.138889
DMCC6705371,0.971429,829.102941,0.973684,953.783784
DMCC6721369,1,905.628571,0.973684,1041.351351
DMCC7297690,1,854.785714,0.921053,964.371429
DMCC7921988,0.971429,1193.602941,0.842105,1205.03125
DMCC8050964,0.971429,1155.441176,0.921053,1109.514286
DMCC8078683,1,975.2,1,1046.763158
DMCC8214059,0.928571,1113.538462,0.842105,1225.625
DMCC8260571,0.971429,972.279412,0.947368,1043.5
DMCC9441378,0.971429,1312.073529,0.973684,1391.72973
DMCC9478705,0.971429,903.529412,1,983.105263
DMCC9953810,0.957143,986.119403,0.763158,1017.137931
